DropID,annotatedBy,scientificName,maxinterval,DepthStrata,Created By,NotesDeployment,LinkToVideoFile,SamplingEnd,SurveyID,id,EventTimeEnd,SiteID,fps,ReplicateWithinSite,EventDate,EventTimeStart,fileName,duration,RecordedBy,IsBadDeployment,NZMHCS_Abiotic,Weather,TideLevel,SamplingStart,DepthDeployment,UnderwaterVisibility,NZMHCS_Biotic,SiteExposure,Longitude,ControlToMR02,SiteCode,ProtectionStatus,ControlToMR03,Latitude,geodeticDatum,ControlToMR01,countryCode,ProtectionStatusDetails,IsControlSite,Region,LinkToMarineReserve,SiteName,schema_site_id,SurveyName,RecordType,SurveyType,ContractorName,CameraModel,BUVType,OfficeContact,BaitSpecies,Vessel,SurveyVerbatim,RightsHolder,IsLongTermMonitoring,StratifiedBy,DateEntry,LinkToOriginalData,SurveyStartDate,FishMultiSpecies,SurveyLeaderName,BaitAmount,EncoderName,LinkReport01,ContractNumber,IsMoreHabitatData,LensModel,SiteSelectionDesign,SurveyLocationAcronym,species_id,aphiaID,commonName,taxonRank,Targeted,DOC_TaxonID
HOR_20211122_BUV_0012,expert,Parapercis colias,2.0,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,95.0,"276,989",Blue cod,species,Yes,75.0
HOR_20211122_BUV_0012,expert,Squalus acanthias,4.0,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,12.0,"105,923",Spiny dogfish,species,Yes,163.0
HOR_20211122_BUV_0012,expert,Thyrsites atun,1.0,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,53.0,"219,697",Barracouta,species,Yes,97.0
HOR_20211122_BUV_0012,expert,unknown,1.0,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,,,,,,
HOR_20211122_BUV_0012,expert,Chelidonichthys kumu,,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,48.0,"218,122",Red gurnard,species,Yes,105.0
HOR_20211122_BUV_0012,expert,Chrysophrys auratus,,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,,,,,,
HOR_20211122_BUV_0012,expert,Trachurus novaezelandiae,,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,77.0,"273,304",Jack mackerel,species,Yes,98.0
HOR_20211122_BUV_0012,expert,Seriola lalandi,,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,49.0,"218,436",Kingfish,species,Yes,91.0
HOR_20211122_BUV_0012,expert,Cephaloscyllium isabellum,,,Victor Anton,,horoirangi-buv-2021/HOR_053/HOR_053_03_12_2021.mp4,1800.0,HOR_20211122_BUV,416,3:50:00 pm,HOR_053_21,60.0,1.0,22/11/2021,3:12:00 pm,HOR_053_03_12_2021.mp4,2668.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Mid_Outgoing,0.0,27.0,Good,"[""Inv""]",Exposed,173.39782,,HMR 53,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Cable Bay,219,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,,,,,,
HOR_20211122_BUV_0013,expert,Parapercis colias,1.0,,Victor Anton,,horoirangi-buv-2021/HOR_051/HOR_051_03_12_2021.mp4,1800.0,HOR_20211122_BUV,415,9:12:00 am,HOR_051_21,60.0,1.0,23/11/2021,8:40:00 am,HOR_051_03_12_2021.mp4,2342.0,Kiara Duke,False,"[""SLT""]",0.1-0.5m_Swell,Low_Slack,0.0,26.0,Fair,"[""Bar""]",Exposed,173.40682,,HMR 51,No protection,,-41.13974,WGS84,[],,,True,Northern South Island,Horoirangi Marine Reserve,Pepin Island,218,Horoirangi BUV 2021,Fish,BUV,,,L-Frame,Stewart Robertson,Pilchards,Kina,This is the first time the survey was run in Horoirangi. Kiara Duke helped with the fieldwork.,"Department of Conservation, New Zealand",True,Habitat,29/02/2024,,22/11/2024,True,Stewart Robertson,500.0,Monique Ladds,,,True,,Random,HOR,95.0,"276,989",Blue cod,species,Yes,75.0
