DropID,SurveyID,SiteID,Latitude,Longitude,EventDate,Created By,TideLevel,Weather,UnderwaterVisibility,ReplicateWithinSite,EventTimeStart,EventTimeEnd,DepthDeployment,DepthStrata,NZMHCS_Abiotic,NZMHCS_Biotic,NotesDeployment,RecordedBy,IsBadDeployment,fps,duration,FileName,LinkToVideoFile,SamplingStart,SamplingEnd,ID
TSB_20230118_BUV_TSB_001_01,TSB_20230118_BUV,TSB_001,-39.6141551,177.8319287,18/01/2023,T. Kōura,Low,<0.1m_Swell,,1,14:30,,25,,,,,T. Kōura,False,10,1947,TSB_20230118_BUV_TSB_001_01.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_001_01/TSB_20230118_BUV_TSB_001_01.mp4,87,1887,90001
TSB_20230118_BUV_TSB_002_01,TSB_20230118_BUV,TSB_002,-39.6288327,177.8350913,18/01/2023,T. Kōura,Low,Calm,,1,9:30,,30,,,,,T. Kōura,False,10,1917,TSB_20230118_BUV_TSB_002_01.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_002_01/TSB_20230118_BUV_TSB_002_01.mp4,57,1857,90002
TSB_20230118_BUV_TSB_003_01,TSB_20230118_BUV,TSB_003,-39.6122428,177.8657959,18/01/2023,T. Kōura,High,<0.1m_Swell,,1,12:30,,20,,,,Camera flooded (fake test data),T. Kōura,True,,,NO VIDEO BAD DEPLOYMENT,NO VIDEO BAD DEPLOYMENT,0,0,90003
TSB_20230118_BUV_TSB_003_02,TSB_20230118_BUV,TSB_003,-39.6142233,177.866171,18/01/2023,T. Kōura,High,<0.1m_Swell,,2,11:00,,32,,,,,T. Kōura,False,10,1980,TSB_20230118_BUV_TSB_003_02.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_003_02/TSB_20230118_BUV_TSB_003_02.mp4,120,1920,90004
TSB_20230118_BUV_TSB_004_01,TSB_20230118_BUV,TSB_004,-39.6159732,177.8308658,18/01/2023,T. Kōura,High,Calm,,1,11:30,,12,,,,,T. Kōura,False,10,1948,TSB_20230118_BUV_TSB_004_01.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_004_01/TSB_20230118_BUV_TSB_004_01.mp4,88,1888,90005
TSB_20230118_BUV_TSB_004_02,TSB_20230118_BUV,TSB_004,-39.6159754,177.8313737,18/01/2023,T. Kōura,Low,<0.1m_Swell,,2,15:45,,25,,,,,T. Kōura,False,10,1967,TSB_20230118_BUV_TSB_004_02.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_004_02/TSB_20230118_BUV_TSB_004_02.mp4,107,1907,90006
TSB_20230118_BUV_TSB_005_01,TSB_20230118_BUV,TSB_005,-39.6317817,177.8510191,18/01/2023,T. Kōura,Low,<0.1m_Swell,,1,8:30,,33,,,,,T. Kōura,False,10,1977,TSB_20230118_BUV_TSB_005_01.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_005_01/TSB_20230118_BUV_TSB_005_01.mp4,117,1917,90007
TSB_20230118_BUV_TSB_006_01,TSB_20230118_BUV,TSB_006,-39.6184173,177.8599695,18/01/2023,T. Kōura,,Calm,,1,11:45,,33,,,,,T. Kōura,False,10,1898,TSB_20230118_BUV_TSB_006_01.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_006_01/TSB_20230118_BUV_TSB_006_01.mp4,38,1838,90008
TSB_20230118_BUV_TSB_006_02,TSB_20230118_BUV,TSB_006,-39.6176736,177.8579354,18/01/2023,T. Kōura,Low,,,2,12:45,,33,,,,,T. Kōura,False,10,1972,TSB_20230118_BUV_TSB_006_02.mp4,media/TSB_20230118_BUV/TSB_20230118_BUV_TSB_006_02/TSB_20230118_BUV_TSB_006_02.mp4,112,1912,90009
TSB_20240110_BUV_TSB_001_01,TSB_20240110_BUV,TSB_001,-39.6129309,177.8299154,10/01/2024,T. Kōura,High,<0.1m_Swell,,1,8:00,,17,,,,,T. Kōura,False,10,1918,TSB_20240110_BUV_TSB_001_01.mp4,media/TSB_20240110_BUV/TSB_20240110_BUV_TSB_001_01/TSB_20240110_BUV_TSB_001_01.mp4,58,1858,90010
